average_watts_fully_utilized,average_watts_active_idle,no_of_cores,threads_per_core,processor_speed,memory,network_controllers,power_supplies_installed ,power_supply_rating,HW_available_date,HW_available_full_date,reference_age_months,age_months
138,60.7,8,2,2133,16,2,1,360,Sep-10,01/09/2010,92,105
100,32.6,4,1,2400,4,1,1,400,Apr-10,01/04/2010,87,110
60.9,24.8,2,2,3067,4,1,1,250,Apr-10,01/04/2010,87,110
45.1,15.9,4,2,2500,8,1,1,250,Jul-13,01/07/2013,126,71
118,46.5,4,2,2933,8,1,1,360,Mar-11,01/03/2011,98,99
259,82.9,12,2,3066,24,1,1,650,Feb-11,01/02/2011,97,100
255,84.3,12,2,3066,24,1,1,650,Feb-11,01/02/2011,97,100
257,79,12,2,2933,16,1,1,650,Jun-10,01/06/2010,89,108
250,80.1,12,2,3066,24,1,1,750,Feb-11,01/02/2011,97,100
249,74.5,12,2,2933,16,1,1,750,Jun-10,01/06/2010,89,108
913,498,32,2,2266,128,2,2,850,May-10,01/05/2010,88,109
258,80.1,12,2,2666,24,1,1,665,Mar-11,01/03/2011,98,99
186,106,8,1,2333,8,2,1,350,May-08,01/05/2008,64,133
176,64.1,8,2,2267,8,1,1,360,Dec-09,01/12/2009,83,114
4993,631,560,2,2500,1920,1,0,0,Jan-19,01/01/2019,192,5
5479,681,616,2,2500,2112,1,0,0,Jan-19,01/01/2019,192,5
5999,735,672,2,2500,2304,1,0,0,Jan-19,01/01/2019,192,5
7031,838,784,2,2500,2688,1,0,0,Jan-19,01/01/2019,192,5
3982,498,448,2,2500,1536,1,0,0,Jan-19,01/01/2019,192,5
4479,558,504,2,2500,1728,1,0,0,Jan-19,01/01/2019,192,5
915,94.2,112,2,2700,384,1,2,850,Dec-18,01/12/2018,191,6
957,99.8,112,2,2500,384,1,2,850,Dec-18,01/12/2018,191,6
430,58.4,56,2,2500,96,1,1,800,Oct-17,01/10/2017,177,20
172,56.2,8,2,2400,8,2,1,450,Aug-09,01/08/2009,79,118
169,56.7,8,2,2260,8,2,1,450,Mar-09,01/03/2009,74,123
268,178,4,1,2500,16,2,1,600,Mar-09,01/03/2009,74,123
161,84.6,8,1,2660,8,2,1,500,Sep-08,01/09/2008,68,129
247,46.6,44,2,2200,64,1,1,500,Mar-16,01/03/2016,158,39
272,49.6,36,2,2300,64,1,1,500,Sep-14,01/09/2014,140,57
454,40.3,56,2,2500,192,1,1,800,Jul-17,01/07/2017,174,23
401,38.4,56,2,2500,96,1,1,800,Sep-18,01/09/2018,188,9
426,39.5,56,2,2500,192,1,1,800,Jun-17,01/06/2017,173,24
47.9,14.4,4,2,2900,16,1,1,500,Feb-16,01/02/2016,157,40
1478,206,224,2,2100,768,1,1,2200,Jul-17,01/07/2017,174,23
322,187,8,1,3000,16,0,1,900,Feb-08,01/02/2008,61,136
280,186,4,1,3400,8,0,1,900,Feb-08,01/02/2008,61,136
260,155,8,1,2500,16,0,1,980,Jun-08,01/06/2008,65,132
226,59.1,12,2,2933,12,2,1,250,Mar-11,01/03/2011,98,99
1387,265,128,1,2300,128,2,0,0,Apr-12,01/04/2012,111,86
1116,268,64,2,2200,96,1,0,0,Aug-12,01/08/2012,115,82
724,255,48,2,2267,64,2,0,0,Feb-11,01/02/2011,97,100
296,94.9,64,2,2200,128,2,1,800,Sep-18,01/09/2018,188,9
278,103,32,2,2400,128,1,1,550,Sep-18,01/09/2018,188,9
307,103,64,2,2000,128,1,1,550,Feb-08,01/02/2008,61,136
245,51.9,28,2,2000,192,1,1,550,Feb-18,01/02/2018,181,16
343,52.4,36,2,2300,192,1,1,550,Feb-18,01/02/2018,181,16
450,54.6,56,2,2500,192,1,1,550,Feb-18,01/02/2018,181,16
387,53.4,48,2,2100,192,2,1,550,Feb-18,01/02/2018,181,16
567,213,48,2,2300,128,1,1,1620,Mar-14,01/03/2014,134,63
264,52.5,36,2,2300,128,1,1,550,Jan-15,01/01/2015,144,53
419,67.2,56,2,2500,192,2,1,800,Jan-15,01/01/2015,144,53
294,226,8,1,2133,32,4,2,658,Jul-08,01/07/2008,66,131
226,174,8,1,2133,8,4,2,658,Jul-08,01/07/2008,66,131
315,216,4,1,3000,8,2,2,700,Nov-07,01/11/2007,58,139
334,220,8,1,2333,8,2,1,700,Nov-07,01/11/2007,58,139
334,219,8,1,2333,16,2,1,700,Nov-07,01/11/2007,58,139
357,245,8,1,2333,8,2,2,700,Nov-07,01/11/2007,58,139
300,223,8,1,2000,8,2,2,700,Nov-07,01/11/2007,58,139
291,191,4,1,3000,8,2,1,700,Nov-07,01/11/2007,58,139
276,198,8,1,2000,8,2,1,700,Nov-07,01/11/2007,58,139
347,115,16,2,2400,128,1,2,740,Apr-12,01/04/2012,111,86
320,82.6,32,1,2400,64,2,1,560,Jun-12,01/06/2012,113,84
306,77,32,1,2300,32,2,1,560,Nov-11,01/11/2011,106,91
213,70.3,32,1,1600,32,2,1,560,Nov-11,01/11/2011,106,91
216,72.7,32,1,1800,64,2,1,560,Nov-12,01/11/2012,118,79
210,119,8,1,2300,16,2,1,650,Feb-09,01/02/2009,73,124
257,76,32,1,2000,64,2,1,560,Jan-14,01/01/2014,132,65
269,138,8,1,2500,16,1,1,700,Dec-08,01/12/2008,71,126
174,96.8,8,1,2500,8,2,1,520,Nov-07,01/11/2007,58,139
279,179,8,1,2500,16,1,1,700,Apr-08,01/04/2008,63,134
302,75.9,36,2,2300,32,1,1,700,Jan-15,01/01/2015,144,53
426,61.8,56,2,2700,384,1,1,750,Apr-19,01/04/2019,195,2
47.6,14.8,4,2,2900,16,1,1,350,Feb-16,01/02/2016,157,40
66,15,4,2,3600,16,1,1,350,Feb-16,01/02/2016,157,40
51.1,19.9,4,2,2900,16,1,1,400,Feb-16,01/02/2016,157,40
303,82.5,36,2,2300,64,1,1,980,Jan-15,01/01/2015,144,53
303,98.4,64,2,2000,512,1,1,1000,Aug-17,01/08/2017,175,22
416,48.1,56,2,2200,192,1,1,800,Apr-19,01/04/2019,195,2
285,62.4,16,2,2300,24,1,1,500,Jun-12,01/06/2012,113,84
272,83.6,16,2,2200,32,1,1,740,Jun-12,01/06/2012,113,84
413,101,16,2,2300,64,1,1,1620,Jun-12,01/06/2012,113,84
264,121,8,1,2700,16,2,1,350,Dec-08,01/12/2008,71,126
186,59.5,16,1,2600,32,1,1,450,Dec-12,01/12/2012,119,78
256,60.9,16,1,3100,32,1,1,450,Dec-12,01/12/2012,119,78
109,56.8,8,1,2200,32,1,1,450,Dec-12,01/12/2012,119,78
224,53.7,8,2,2930,8,2,1,360,Jun-09,01/06/2009,77,120
172,73.1,8,1,2300,16,2,1,400,May-09,01/05/2009,76,121
218,80.4,12,1,2100,16,2,1,460,Jul-09,01/07/2009,78,119
126,56.6,12,1,1800,16,2,1,250,Aug-10,01/08/2010,91,106
